Unnamed: 0,Product Name,Rating,Rating Info,RAM/ROM,Display,Camera,Battery,Processor,Warranty,Price,Original Price,Offer,Deals,Exchangable_amount
881,"Tecno Spark Go 1 (Glittery White, 64 GB)",4.3,"1,707 Ratings & 82 Reviews",3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,13MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Unisoc T61 Processor,1 Year Manufacturer Warranty for Phone,"₹6,899","₹8,599",19% off,Bank Offer,
882,"vivo Y31 5G (Rose Red, 128 GB)",4.4,160 Ratings & 3 Reviews,6 GB RAM | 128 GB ROM,16.97 cm (6.68 inch) Full HD+ Display,50MP + 0.08MP | 8MP Front Camera,6500 mAh Battery,4 Gen 2 Processor,1 Year Warranty,"₹16,499","₹21,499",23% off,,"₹12,850"
883,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Violet, 128 GB)",4.5,"1,91,698 Ratings & 6,667 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD Display,32MP + 2MP | 8MP Front Camera,5100 mAh Battery,Dimensity 6300 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹12,999","₹16,999",23% off,Bank Offer,"₹10,100"
884,"REDMI 14C 5G (Starlight Blue, 128 GB)",4.2,"7,758 Ratings & 387 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹9,999","₹13,999",28% off,Super Deals,"₹7,700"
885,Kechaoda K9,4.1,"3,673 Ratings & 300 Reviews",32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,1700 mAh Battery,,1 Year Company Domestic Warranty by Company Authorized Service Center.,"₹1,199","₹1,499",20% off,Bank Offer,
886,"REDMI 13c 5G (Startrail Silver, 128 GB)",4.3,"42,489 Ratings & 1,760 Reviews",6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,,,"₹11,999","₹15,999",25% off,Bank Offer,"₹9,300"
887,"Samsung Galaxy A06 (Black, 128 GB)",4.1,337 Ratings & 21 Reviews,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"₹8,999","₹12,499",28% off,Super Deals,
888,"Tecno Pova 6 Neo 5G (Aurora Cloud, 256 GB)",4.1,701 Ratings & 56 Reviews,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,108MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 5G Processor,1 Year Manufacturer Warranty for Phone,"₹13,999","₹16,999",17% off,Bank Offer,"₹11,000"
889,"Apple iPhone 17 Pro Max (Silver, 1 TB)",4.8,261 Ratings & 27 Reviews,,17.53 cm (6.9 inch) Super Retina XDR Display,48MP + 48MP + 48MP | 18MP Front Camera,,"A19 Chip, 6 Core Processor Processor",Apple One (1) Year Limited Warranty,"₹1,89,900",,,Bank Offer,"₹55,250"
890,"Samsung Galaxy M16 5G (Mint Green, 128 GB)",4.2,"1,066 Ratings & 54 Reviews",6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹13,490","₹15,499",12% off,Bank Offer,"₹10,450"
