Unnamed: 0,Product Name,Rating,Rating Info,RAM/ROM,Display,Camera,Battery,Processor,Warranty,Price,Original Price,Offer,Deals,Exchangable_amount
0,Rastic SM Guru Music 2 Mobile Phone,,,8 MB RAM | 16 MB ROM | Expandable Upto 64 GB,6.35 cm (2.5 inch) VGA Display,0MP Front Camera,850 mAh Battery,,NO Warranty,₹998,"₹1,999",50% off,Bank Offer,
1,"POCO C71 (Cool Blue, 128 GB)",4.1,"23,857 Ratings & 1,146 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery,Unisoc T7250 Max clock speed: 2 x A75@1.8GHz 6 x A55@1.6GHz Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹6,799","₹9,999",32% off,Bank Offer,"₹5,100"
2,"POCO C71 (Desert Gold, 64 GB)",3.8,"46,431 Ratings & 2,129 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery,Unisoc T7250 Max clock speed: 2 x A75@1.8GHz 6 x A55@1.6GHz Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹6,199","₹8,999",31% off,Super Deals,"₹4,600"
3,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",4.3,"11,819 Ratings & 999 Reviews",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP + 50MP + 10MP | 50MP Front Camera,6000 mAh Battery,Dimensity 8350 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹31,999","₹40,999",21% off,Bank Offer,"₹25,450"
4,"REDMI Note 14 SE 5G (Titan Black, 128 GB)",4.3,"14,221 Ratings & 579 Reviews",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor,1 Year Warranty on the Handset and 6 Months Warranty on the Inbox Accessories,"₹13,499","₹19,999",32% off,Super Deals,"₹10,450"
5,"REDMI Note 14 SE 5G (Crimson Art, 128 GB)",4.3,"14,221 Ratings & 579 Reviews",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor,1 Year Warranty on the Handset and 6 Months Warranty on the Inbox Accessories,"₹13,499","₹19,999",32% off,Super Deals,"₹10,450"
6,"Moto g67 power 5G (Pantone Cilantro, 128 GB)",4.5,92 Ratings & 3 Reviews,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,7000 mAh Battery,7s Gen 2 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹15,999","₹18,999",15% off,Bank Offer,"₹12,550"
7,"POCO M7 5G (Mint Green, 128 GB)",4.2,"12,130 Ratings & 599 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹9,999","₹13,999",28% off,Super Deals,"₹7,700"
8,"POCO C71 (Power Black, 128 GB)",4.1,"23,857 Ratings & 1,146 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery,Unisoc T7250 Max clock speed: 2 x A75@1.8GHz 6 x A55@1.6GHz Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹6,799","₹9,999",32% off,Super Deals,"₹5,100"
9,"Moto g06 power (Tapestry, 64 GB)",4.2,"1,121 Ratings & 92 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,Helio G81 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹7,199","₹9,999",28% off,,"₹5,400"
10,"Moto g67 power 5G (Pantone Parachute, 128 GB)",4.5,92 Ratings & 3 Reviews,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,7000 mAh Battery,7s Gen 2 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹15,999","₹18,999",15% off,Bank Offer,"₹12,550"
11,"Moto g06 power (Pantone Tendril, 64 GB)",4.2,"1,121 Ratings & 92 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,Helio G81 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹7,199","₹9,999",28% off,Bank Offer,"₹5,400"
12,"POCO M7 Pro 5G (Lavender Frost, 128 GB)",4.3,"29,275 Ratings & 2,198 Reviews",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹11,999","₹18,999",36% off,Super Deals,"₹9,300"
13,"Moto g67 power 5G (Pantone Curacao Blue, 128 GB)",4.5,92 Ratings & 3 Reviews,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,7000 mAh Battery,7s Gen 2 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹15,999","₹18,999",15% off,Bank Offer,"₹12,550"
14,"POCO C75 5G (Enchanted Green, 64 GB)",4.2,"1,29,220 Ratings & 5,807 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5160 mAh Battery,4s Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹7,499","₹10,999",31% off,Super Deals,"₹5,650"
15,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 256 GB)",4.3,"16,860 Ratings & 736 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Battery,Dimensity 6300 5G Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹13,499","₹16,999",20% off,Bank Offer,"₹10,450"
16,"POCO C71 (Desert Gold, 128 GB)",4.1,"23,857 Ratings & 1,146 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery,Unisoc T7250 Max clock speed: 2 x A75@1.8GHz 6 x A55@1.6GHz Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹6,799","₹9,999",32% off,Super Deals,"₹5,100"
17,"realme P4 5G (Engine Blue, 128 GB)",4.4,"14,450 Ratings & 924 Reviews",6 GB RAM | 128 GB ROM,17.2 cm (6.77 inch) Display,50MP + 8MP | 16MP Front Camera,7000 mAh Battery,Mediatek Dimensity 7400 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹16,999","₹20,999",19% off,,"₹13,400"
18,"POCO M7 Plus 5G (Chrome Silver, 128 GB)",4.3,"3,794 Ratings & 212 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.53 cm (6.9 inch) Display,50MP AI Dual Camera,7000 mAh Battery,Snapdragon 6s Gen 3 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹12,999","₹16,999",23% off,Bank Offer,"₹10,100"
19,"realme C71 (Sea Blue, 128 GB)",4.2,"5,916 Ratings & 224 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,6300 mAh Battery,T7250 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹8,699","₹10,999",20% off,Bank Offer,"₹6,600"
20,"POCO M7 5G (Mint Green, 128 GB)",4.1,"58,019 Ratings & 2,740 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,999","₹12,999",30% off,Super Deals,"₹6,900"
21,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",4.4,"18,393 Ratings & 1,438 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹11,999","₹15,999",25% off,Bank Offer,"₹9,300"
22,"REDMI Note 14 SE 5G (Mystique White, 128 GB)",4.3,"14,221 Ratings & 579 Reviews",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor,1 Year Warranty on the Handset and 6 Months Warranty on the Inbox Accessories,"₹13,499","₹19,999",32% off,Super Deals,"₹10,450"
23,"vivo T4x 5G (Pronto Purple, 256 GB)",4.4,"1,34,136 Ratings & 6,451 Reviews",8 GB RAM | 256 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery,Dimensity 7300 5G Processor,1 Year Warranty for Device and 6 Months Warranty for Accessories,"₹17,499","₹20,999",16% off,Bank Offer,"₹13,800"
24,"realme Narzo 80 Lite 5G (Crystal Purple, 128 GB)",4.3,"3,236 Ratings & 129 Reviews",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,32MP Rear Camera,6000 mAh Battery,,1 Year Warranty,"₹10,721","₹14,999",28% off,,"₹8,300"
25,"POCO C75 5G (Aqua Bliss, 128 GB)",4.2,"1,29,220 Ratings & 5,807 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5160 mAh Battery,4s Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,199","₹11,499",28% off,Super Deals,"₹6,250"
26,"Samsung Galaxy F07 (Green, 64 GB)",4.3,872 Ratings & 50 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G99 Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"₹6,999","₹9,999",30% off,Super Deals,"₹5,300"
27,"POCO M7 Pro 5G (Lavender Frost, 256 GB)",4.2,"11,393 Ratings & 974 Reviews",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹13,999","₹20,999",33% off,Super Deals,"₹11,000"
28,"vivo T4x 5G (Pronto Purple, 128 GB)",4.4,"1,34,136 Ratings & 6,451 Reviews",8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery,Dimensity 7300 5G Processor,1 Year Warranty for Device and 6 Months Warranty for Accessories,"₹15,499","₹19,499",20% off,Bank Offer,"₹12,150"
29,"POCO M7 5G - Locked with Airtel Prepaid (Satin Black, 128 GB)",4.1,"58,019 Ratings & 2,740 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,249","₹12,999",36% off,Super Deals,"₹6,300"
30,"POCO M7 5G (Satin Black, 128 GB)",4.2,"12,130 Ratings & 599 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹9,999","₹13,999",28% off,Super Deals,"₹7,700"
31,"realme C61 (Safari Green, 64 GB)",4.4,"33,401 Ratings & 1,048 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,5000 mAh Battery,T612 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹6,499","₹8,999",27% off,,"₹4,900"
32,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Breeze Blue, 128 GB)",4.5,"69,788 Ratings & 5,424 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹12,999","₹16,999",23% off,Super Deals,"₹10,100"
33,"MOTOROLA g35 5G (Midnight Black, 128 GB)",4.2,"1,04,748 Ratings & 6,733 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,T760 Processor,,"₹9,999","₹12,499",20% off,Bank Offer,"₹7,700"
34,"realme P3x 5G (Midnight Blue, 128 GB)",4.4,"19,892 Ratings & 812 Reviews",8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Full HD Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6400 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹12,499","₹17,999",30% off,Bank Offer,"₹9,750"
35,"realme C61 (Marble Black, 64 GB)",4.4,"33,401 Ratings & 1,048 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,5000 mAh Battery,T612 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹6,499","₹8,999",27% off,Bank Offer,"₹4,900"
36,"POCO M7 5G (Satin Black, 128 GB)",4.1,"58,019 Ratings & 2,740 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,999","₹12,999",30% off,Super Deals,"₹6,900"
37,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",4.4,"46,130 Ratings & 1,441 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Battery,Dimensity 6300 5G Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹11,499","₹14,999",23% off,Bank Offer,"₹8,950"
38,"POCO M7 Pro 5G (Lunar Dust, 128 GB)",4.3,"29,275 Ratings & 2,198 Reviews",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹11,999","₹18,999",36% off,Super Deals,"₹9,300"
39,"Ai+ Pulse (Green, 128 GB)",4,"3,400 Ratings & 217 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,T615 Processor,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,"₹6,999","₹9,999",30% off,Bank Offer,"₹5,300"
40,"POCO C75 5G (Aqua Bliss, 64 GB)",4.2,"1,29,220 Ratings & 5,807 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5160 mAh Battery,4s Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹7,499","₹10,999",31% off,,"₹5,650"
41,"REDMI 13 5G (Black Diamond, 128 GB)",4.3,"47,703 Ratings & 2,376 Reviews",6 GB RAM | 128 GB ROM,17.25 cm (6.79 inch) Full HD+ Display,108MP Rear Camera,5030 mAh Battery,Qualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) Processor,,"₹11,989","₹17,999",33% off,,"₹9,300"
42,"realme P3x 5G (Midnight Blue, 128 GB)",4.4,"60,539 Ratings & 2,262 Reviews",6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Full HD Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6400 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹11,499","₹16,999",32% off,,"₹8,950"
43,Rastic SM Guruu Music 2,3.5,22 Ratings & 1 Reviews,8 MB RAM | 16 MB ROM | Expandable Upto 64 GB,6.35 cm (2.5 inch) VGA Display,0MP Front Camera,850 mAh Battery,,NO Warranty,₹998,"₹1,999",50% off,Bank Offer,
44,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",4.4,"34,302 Ratings & 1,019 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Battery,Dimensity 6300 5G Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹10,499","₹13,999",25% off,Bank Offer,"₹8,000"
45,"POCO C71 (Power Black, 64 GB)",3.8,"46,431 Ratings & 2,129 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery,Unisoc T7250 Max clock speed: 2 x A75@1.8GHz 6 x A55@1.6GHz Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹6,199","₹8,999",31% off,Super Deals,"₹4,600"
46,"MOTOROLA g05 (Forest Green, 64 GB)",4.2,"68,414 Ratings & 4,262 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5100 mAh Battery,Helio G81 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹6,999","₹9,999",30% off,Bank Offer,"₹5,300"
47,"MOTOROLA g35 5G (Midnight Black, 128 GB)",4.2,"1,652 Ratings & 73 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,T760 Processor,,"₹11,999","₹15,499",22% off,Bank Offer,"₹9,300"
48,"vivo T4x 5G (Pronto Purple, 128 GB)",4.4,"1,80,231 Ratings & 8,062 Reviews",6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery,Dimensity 7300 5G Processor,1 Year Warranty for Device and 6 Months Warranty for Accessories,"₹14,499","₹17,999",19% off,Bank Offer,"₹11,250"
49,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",4.4,"34,302 Ratings & 1,019 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Battery,Dimensity 6300 5G Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹10,499","₹13,999",25% off,,"₹8,000"
50,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",4.3,"38,137 Ratings & 2,873 Reviews",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP + 50MP + 10MP | 50MP Front Camera,6000 mAh Battery,Dimensity 8350 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹27,999","₹36,999",24% off,Bank Offer,"₹22,250"
51,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 256 GB)",4.3,"16,860 Ratings & 736 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Battery,Dimensity 6300 5G Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹13,499","₹16,999",20% off,Bank Offer,"₹10,450"
52,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,4.1,"23,720 Ratings & 1,386 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) Quarter QVGA Display,0.8MP + 0MP | 0MP Front Camera,1900 mAh Battery,Unisoc Processor,,"₹1,349","₹1,799",25% off,Bank Offer,
53,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)",4.5,"64,785 Ratings & 3,929 Reviews",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP + 2MP | 16MP Front Camera,7000 mAh Battery,Snapdragon 6 Gen 4 Processor,1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories,"₹17,999","₹22,999",21% off,,"₹14,050"
54,"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)",4.4,"1,01,865 Ratings & 5,310 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,50MP + 13MP | 32MP Front Camera,5500 mAh Battery,Dimensity 7400 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹20,999","₹25,999",19% off,Super Deals,"₹16,650"
55,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 128 GB)",4.5,"64,785 Ratings & 3,929 Reviews",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP + 2MP | 16MP Front Camera,7000 mAh Battery,Snapdragon 6 Gen 4 Processor,1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories,"₹17,999","₹22,999",21% off,,"₹14,050"
56,"POCO C75 5G (Silver Stardust, 64 GB)",4.2,"1,29,220 Ratings & 5,807 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5160 mAh Battery,4s Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹7,499","₹10,999",31% off,Bank Offer,"₹5,650"
57,"vivo T4x 5G (Glacial Teal, 128 GB)",4.4,"1,80,231 Ratings & 8,062 Reviews",6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery,Dimensity 7300 5G Processor,1 Year Warranty for Device and 6 Months Warranty for Accessories,"₹14,499","₹17,999",19% off,Super Deals,"₹11,250"
58,"MOTOROLA g35 5G (Leaf Green, 128 GB)",4.2,"1,04,748 Ratings & 6,733 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,T760 Processor,,"₹9,999","₹12,499",20% off,,"₹7,700"
59,"POCO M7 Pro 5G (Olive Twilight, 256 GB)",4.2,"11,393 Ratings & 974 Reviews",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹13,999","₹20,999",33% off,Bank Offer,"₹11,000"
60,"MOTOROLA g05 (Plum Red, 64 GB)",4.2,"68,414 Ratings & 4,262 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5100 mAh Battery,Helio G81 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹6,999","₹9,999",30% off,Bank Offer,"₹5,300"
61,"realme 15x 5G (Marine Blue, 256 GB)",4.3,"1,730 Ratings & 124 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.27 cm (6.8 inch) Display,50MP Rear Camera | 50MP Front Camera,7000 mAh Battery,Dimensity 6300 6nm Octa-core chipset Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹20,499","₹21,999",6% off,Bank Offer,"₹16,200"
62,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)",4.6,"40,708 Ratings & 2,259 Reviews",8 GB RAM | 128 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 12MP | 12MP Front Camera,4000 mAh Battery,8 Gen 3 Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"₹47,999","₹74,999",36% off,Super Deals,"₹38,000"
63,"REDMI A4 (Sparkle Purple, 128 GB)",4.2,856 Ratings & 32 Reviews,6 GB RAM | 128 GB ROM,17.48 cm (6.88 inch) Display,50MP + 50MP | 5MP Dual Front Camera,5160 mAh Battery,Snapdragon 4s Gen 2 5G Processor Processor,,"₹9,394","₹12,999",27% off,Super Deals,
64,"vivo T4 5G (Phantom Grey, 256 GB)",4.5,"81,392 Ratings & 3,715 Reviews",8 GB RAM | 256 GB ROM,17.2 cm (6.77 inch) Display,50MP (OIS) + 2MP | 32MP Front Camera,7300 mAh Battery,Snapdragon 7s Gen 3 5G Processor,1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories,"₹22,999","₹27,999",17% off,,"₹17,850"
65,Nokia 105 Classic without Charger,3.7,"6,164 Ratings & 263 Reviews",32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,800 mAh Battery,SC6531E Processor,1 Month Company Domestic Warranty by Company Authorized Service Center.,"₹1,249",,,,
66,"MOTOROLA g35 5G (Leaf Green, 128 GB)",4.2,"1,652 Ratings & 73 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,T760 Processor,,"₹11,999","₹15,499",22% off,Bank Offer,"₹9,300"
67,"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)",4.4,"4,548 Ratings & 182 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Display,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹10,499","₹12,999",19% off,,"₹8,000"
